AeroDyn airfoil file.  Compatible with AeroDyn v13.0.
Perfil en optimización, Re=0.500 Million.
Viterna Extended w/ AR=10. Fourth column is the minimum pressure coefficient.
1                               Number of airfoil tables in this file
1                           Table ID parameter (Reynolds number in millions). 
0                         Stall angle (deg)
0                       Zero Cn angle of attack (deg)
0                       Cn slope for zero lift (dimensionless)
0                       Cn extrapolated to value at positive stall angle of attack
0                       Cn at stall value for negative angle of attack
0                         Angle of attack for minimum CD (deg)
0                       Minimum CD value
-180  0.0000 -0.0281 0.0000
-170  0.5151 0.0112 0.0000
-160  0.6819 0.1245 0.0000
-150  0.6186 0.2981 0.0000
-140  0.5831 0.5114 0.0000
-130  0.5265 0.7389 0.0000
-120  0.4348 0.9534 0.0000
-110  0.3091 1.1295 0.0000
-100  0.1591 1.2462 0.0000
-90  -0.0000 1.2900 0.0000
-80  -0.1591 1.2462 0.0000
-70  -0.3091 1.1295 0.0000
-60  -0.4348 0.9534 0.0000
-50  -0.5265 0.7389 0.0000
-40  -0.5831 0.5114 0.0000
-30  -0.6186 0.2981 0.0000
-20  -0.6819 0.1245 0.0000
-10  -0.4462 0.0441 0.0000
  0  0.2066 0.0139 0.0000
  1  0.2719 0.0108 0.0000
  2  0.3878 0.0109 0.0000
  3  0.5027 0.0110 0.0000
  4  0.6169 0.0112 0.0000
  5  0.7245 0.0110 0.0000
  6  0.8276 0.0111 0.0000
  7  0.9077 0.0123 0.0000
  9  0.9100 0.0218 0.0000
 10  0.9399 0.0271 0.0000
 11  0.9711 0.0328 0.0000
 12  1.0006 0.0390 0.0000
 13  1.0317 0.0455 0.0000
 14  1.0672 0.0522 0.0000
 15  1.1037 0.0592 0.0000
 20  0.9741 0.1245 0.0000
 30  0.8836 0.2981 0.0000
 40  0.8330 0.5114 0.0000
 50  0.7521 0.7389 0.0000
 60  0.6211 0.9534 0.0000
 70  0.4416 1.1295 0.0000
 80  0.2272 1.2462 0.0000
 90  0.0000 1.2900 0.0000
100  -0.1591 1.2462 0.0000
110  -0.3091 1.1295 0.0000
120  -0.4348 0.9534 0.0000
130  -0.5265 0.7389 0.0000
140  -0.5831 0.5114 0.0000
150  -0.6186 0.2981 0.0000
160  -0.6819 0.1245 0.0000
170  -0.5151 0.0112 0.0000
180  0.0000 -0.0281 0.0000
EOT
