
# Surface 0 of 1 surfaces

# Curve title: "'vec_field.dat' u 1:2:6"

# Contour 0, label:        0
 0.4922  0.0515626  0 
 0.4922  0.0484375  0 
 0.4922  0.0453125  0 
 0.4922  0.0421875  0 
 0.4922  0.0390625  0 
 0.4922  0.0359376  0 
 0.4922  0.0328127  0 
 0.4922  0.0296878  0 
 0.4922  0.0265629  0 
 0.4922  0.023438  0 
 0.4922  0.020313  0 
 0.4922  0.017188  0 
 0.4922  0.014063  0 
 0.4922  0.0109379  0 
 0.4922  0.00781282  0 
 0.4922  0.0046877  0 
 0.4922  0.00156257  0 
 0.4922 -0.00156257  0 
 0.4922 -0.0046877  0 
 0.4922 -0.00781282  0 
 0.4922 -0.0109379  0 
 0.4922 -0.014063  0 
 0.4922 -0.017188  0 
 0.4922 -0.020313  0 
 0.4922 -0.023438  0 
 0.4922 -0.0265629  0 
 0.4922 -0.0296878  0 
 0.4922 -0.0328127  0 
 0.4922 -0.0359376  0 
 0.4922 -0.0390625  0 
 0.4922 -0.0421875  0 
 0.4922 -0.0453125  0 
 0.4922 -0.0484375  0 
 0.4922 -0.0515626  0 
 0.4922 -0.0546876  0 
 0.4922 -0.0578127  0 
 0.4922 -0.0609378  0 
 0.4922 -0.064063  0 
 0.4922 -0.0671884  0 
 0.4922 -0.0703141  0 
 0.4922 -0.0734401  0 
 0.4922 -0.0765664  0 
 0.4922 -0.0796932  0 
 0.4922 -0.0828203  0 
 0.4922 -0.0859477  0 
 0.4922 -0.0890751  0 
 0.4922 -0.0922025  0 
 0.4922 -0.0953295  0 
 0.4922 -0.0984559  0 
 0.4922 -0.101582  0 
 0.4922 -0.104706  0 
 0.492199 -0.10783  0 
 0.492197 -0.110953  0 
 0.492192 -0.114075  0 
 0.492178 -0.117195  0 
 0.49215 -0.120312  0 
 0.492094 -0.123425  0 
 0.491993 -0.12653  0 
 0.491822 -0.129623  0 
 0.49155 -0.132697  0 
 0.491146 -0.13574  0 
 0.490578 -0.138739  0 
 0.489825 -0.141674  0 
 0.488878 -0.144523  0 
 0.487746 -0.147262  0 
 0.48646 -0.149868  0 
 0.48507 -0.15232  0 
 0.483637 -0.154608  0 
 0.482226 -0.156733  0 
 0.480896 -0.158715  0 
 0.479694 -0.160586  0 
 0.478644 -0.162395  0 
 0.477751 -0.164198  0 
 0.476997 -0.166056  0 
 0.476353 -0.168018  0 
 0.475779 -0.170123  0 
 0.475235 -0.172393  0 
 0.474683 -0.174827  0 
 0.474088 -0.17741  0 
 0.473427 -0.180111  0 
 0.472681 -0.182888  0 
 0.471842 -0.185696  0 
 0.470909 -0.188491  0 
 0.46989 -0.191229  0 
 0.468804 -0.193874  0 

 0.4922  0.357825  0 
 0.4922  0.354699  0 
 0.4922  0.351572  0 
 0.4922  0.348443  0 
 0.4922  0.345315  0 
 0.4922  0.342185  0 
 0.4922  0.339057  0 
 0.4922  0.335928  0 
 0.4922  0.332801  0 
 0.4922  0.329675  0 
 0.4922  0.32655  0 
 0.4922  0.323427  0 
 0.4922  0.320304  0 
 0.4922  0.317182  0 
 0.4922  0.314061  0 
 0.4922  0.310939  0 
 0.4922  0.307818  0 
 0.4922  0.304696  0 
 0.4922  0.301573  0 
 0.4922  0.29845  0 
 0.4922  0.295325  0 
 0.4922  0.292199  0 
 0.4922  0.289072  0 
 0.4922  0.285943  0 
 0.4922  0.282815  0 
 0.4922  0.279685  0 
 0.4922  0.276557  0 
 0.4922  0.273428  0 
 0.4922  0.270301  0 
 0.4922  0.267175  0 
 0.4922  0.26405  0 
 0.4922  0.260927  0 
 0.4922  0.257804  0 
 0.4922  0.254682  0 
 0.4922  0.251561  0 
 0.4922  0.248439  0 
 0.4922  0.245318  0 
 0.4922  0.242196  0 
 0.4922  0.239073  0 
 0.4922  0.23595  0 
 0.4922  0.232825  0 
 0.4922  0.229699  0 
 0.4922  0.226572  0 
 0.4922  0.223443  0 
 0.4922  0.220315  0 
 0.4922  0.217185  0 
 0.4922  0.214057  0 
 0.4922  0.210928  0 
 0.4922  0.207801  0 
 0.4922  0.204675  0 
 0.4922  0.20155  0 
 0.4922  0.198427  0 
 0.4922  0.195304  0 
 0.4922  0.192182  0 
 0.4922  0.189061  0 
 0.4922  0.185939  0 
 0.4922  0.182818  0 
 0.4922  0.179696  0 
 0.4922  0.176573  0 
 0.4922  0.17345  0 
 0.4922  0.170325  0 
 0.4922  0.167199  0 
 0.4922  0.164072  0 
 0.4922  0.160943  0 
 0.4922  0.157815  0 
 0.4922  0.154685  0 
 0.4922  0.151557  0 
 0.4922  0.148428  0 
 0.4922  0.145301  0 
 0.4922  0.142175  0 
 0.4922  0.13905  0 
 0.4922  0.135927  0 
 0.4922  0.132804  0 
 0.4922  0.129682  0 
 0.4922  0.126561  0 
 0.4922  0.12344  0 
 0.4922  0.120319  0 
 0.4922  0.117198  0 
 0.4922  0.114076  0 
 0.4922  0.110954  0 
 0.4922  0.10783  0 
 0.4922  0.104707  0 
 0.4922  0.101582  0 
 0.4922  0.0984559  0 
 0.4922  0.0953295  0 
 0.4922  0.0922025  0 
 0.4922  0.0890751  0 
 0.4922  0.0859477  0 
 0.4922  0.0828203  0 
 0.4922  0.0796932  0 
 0.4922  0.0765664  0 
 0.4922  0.0734401  0 
 0.4922  0.0703141  0 
 0.4922  0.0671884  0 
 0.4922  0.064063  0 
 0.4922  0.0609378  0 
 0.4922  0.0578127  0 
 0.4922  0.0546876  0 
 0.4922  0.0515626  0 

 0.304696  0.4922  0 
 0.307818  0.4922  0 
 0.310939  0.4922  0 
 0.314061  0.4922  0 
 0.317182  0.4922  0 
 0.320304  0.4922  0 
 0.323427  0.4922  0 
 0.32655  0.4922  0 
 0.329675  0.4922  0 
 0.332801  0.4922  0 
 0.335928  0.4922  0 
 0.339057  0.4922  0 
 0.342185  0.4922  0 
 0.345315  0.4922  0 
 0.348443  0.4922  0 
 0.351572  0.4922  0 
 0.354699  0.4922  0 
 0.357825  0.4922  0 
 0.36095  0.4922  0 
 0.364073  0.4922  0 
 0.367196  0.4922  0 
 0.370318  0.4922  0 
 0.373439  0.4922  0 
 0.376561  0.4922  0 
 0.379682  0.4922  0 
 0.382804  0.4922  0 
 0.385927  0.4922  0 
 0.38905  0.4922  0 
 0.392175  0.4922  0 
 0.395301  0.4922  0 
 0.398428  0.4922  0 
